,name,price,location,offerer,id,description,year,manufacturer,model,category,length,fuel_type,hull_material,hull_shape,country
163,1990 Baltic 641990 Baltic 64,449000.0,"contact de valk barcelona, frankreich",De Valk Group B.V,8368725,"Model: BALTIC 64 Type: sailing yacht LOA (m): 19,35 Beam (m): 5,28 Draft (m): 1,80 Headroom (m): 2,20 Year built: 1990 Builder: Baltic Yachts Country: Finland Designer: Sparkman & Stephens Displacement (t): 32 CE norm: A Hull material: GRP Keel type: Bronze centreboard Superstructure material: GRP Deck finish: New 2009 teak Antifouling (year): 2019 Fuel tank (litre): 1200 Level indicator (fuel tank): Yes Freshwater tank (litre): 960 Level indicator (freshwater): Yes Blackwater tank (litre): 200 Level indicator (blackwater): Yes More info on hull: GRP Sandwich / Kevlar More info on paintwork: New awl grip paint 2020 This Baltic 64 blue water cruiser designed by Sparkman & Stephens has eye catching lines, fully equipped to go anywhere even with a reduced crew. She was built in 1990, and since 1996 owned by her demanding owner. The yacht offers two cockpits with 2 companionways, She is equipped with a very rare bronze centerboard keel which allows to reduce the draft hydraulically from 4,20 to 1,80 Below deck this Baltic 64 offers a spacious owners cabin, skipper / navigation room, and 2 excellent guest cabins all with en suite bathrooms. New teak 2009 and new paint 2020.
For more information: BALTIC 64 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1990,Baltic,64,Slup Boote,19.35,diesel,other,,france
164,1990 Baltic 64 centerboard1990 Baltic 64 centerboard,490000.0,spanien,Judel/Vrolijk & Co - Brokerage GmbH,5874172,"The Baltic 64 TANASSA with centerboard from 1990 is for sale
The Baltic 64 TANASSA is the ultimate blue water cruiser. Classic lines from Sparkman&Stephens make this yacht a timeless classic that can be moved even with a small crew. The mainsail is stowed hydraulically in the RECKMANN furling mast, as are the genoa and the staysail, which are driven on hydraulic furling systems. The highlight of the yacht is the centreboard, which makes it possible to reduce the draft from 4.20 m to just 1.80 m. Below deck, TANASSA offers all the amenities that characterize a yacht of this class.
Highlights:

Main and Genoa Triradial new 2018
Epoxy primer and antifouling sandblasted and rebuilt in 2018
Center board (1.80m - 4.20m)
RECKMANN furling mast with hydraulic genoa furler
5x Lewmar electric main sheet winches
Engine Perkins M135, 125 hp, 2015 completely overhauled (approx. 200 hrs.)
New teak deck 2009
Mast service 2008/9, new standing rigging (rod), Reckmann
New air conditioning CONDARIA in 2010
Hull painted AWL-Grip white 2009
110V & 220V system
New SIMRAD/ B&G navigation electronics in 2015
German flag / German owner
EU VAT paid

Complete synopsis on request
We are always at your disposal for questions or a visit.
Your judel/vrolijk & co - brokerage team!
-------------------------------------------------- -----
For sale is the Baltic 64 TANASSA Centerboard Cruiser from 1990
The Baltic 64 TANASSA is a blue water cruiser designed throughout by Sparkman&Stephens with eye-catching, classic lines, fully equipped to go anywhere even with a small crew. TANASSA was built in 1990 and since 1996 owned by her present demanding owner. The yacht offers two cockpits with two companionways, all lines and sheets lead to the aft cockpit. The rig is a RECKMANN furling mast with hydraulic RECKMANN genoa and staysail furlers. She is a equipped with the very rare bronze centerboard keel which allows to reduce the draft hydraulically from 4.20 m to 1.80 m. Below deck TANASSA offers a spacious owners cabin aft with separate companionway, a skipper/navigation room, huge salon with dining area and coffee table. In the bow section are two guest cabins with ensuite heads and a sail locker. TANASSA is fully equipped and well maintained, new teak deck 2009, engine overhauled 2015, new rigging 2009, new navigation electronics 2015. German owner/flag, EU-VAT paid.
highlights

Genoa and Main new 2018
Epoxy primer and antifouling sandblasted and renewed 2018
Centerboard (1.80m – 4.20m draft)
RECKMANN furling mast with hydraulic genoa furlers
5x Lewmar electric winches for sheets
Engine Perkins M135, 125 hp overhauled in 2015 / about 200 hours since then
New teak deck 2009
Mast service 2008/9, new standing rigging (rod), Reckmann
New air conditioning CONDARIA in 2010
Hull painted AWL-Grip white 2009
110V & 220V system
New SIMRAD/ B&G Navigation Electronics in 2015
German Flag / German Registry
EU VAT paid

Full exposé on request.
For further questions or to arrange a visit please don't hesitate to contact us.
Your judel/vrolijk & co - brokerage team!Show more",1990,Baltic,64 centerboard,Segelyachten,19.35,diesel,GFK / fiberglas / polyester,,spain
165,1984 Cheoy Lee 63 Long Range Motorsailer1984 Cheoy Lee 63 Long Range Motorsailer,425000.0,"contact de valk portugal, portugal",De Valk Group B.V,7996334,"Model: CHEOY LEE 63 LRMS Type: sailing yacht LOA (m): 19,32 LWL (m): 16,46 Beam (m): 5,64 Draft (m): 1,98 Air draft (m): 22,40 Year built: 1984 Builder: Cheoy Lee shipyard Country: Hong Kong Designer: Seaton and Neville Displacement (t): 49,9 Ballast (tonnes): 13,6 cast iron CE norm: A Hull material: GRP Hull colour: blue Hull shape: Keel type: fin keel Superstructure material: GRP Rubbing strake: Deck material: GRP Deck finish: new 2017 teak Cockpit deck finish: teak Antifouling (year): 2021 Window frame: Window material: Gebo tempered glass Flybridge: new instrument panel and 2 chairs 2017 Fuel tank (litre): 3520 polyethylene Fuel tank 2 (litre): 3520 polyethylene Level indicator (fuel tank): yes Freshwater tank (litre): 4.807 Blackwater tank (litre): 390+1700 Blackwater tank extraction: deck extraction + pump Wheel steering: electric Inside helm position: yes Flybridge helm position: electric More info on paintwork: hull needs polish or new paint The Cheoy Lee 63 LRMS is an impressive performer with speed and agility under both sail and power. She was in a heated hall from 2015 until 2017 for an extensive refit. The engine room was re-arranged and the caterpillars were lifted and overhauled. New generators, airco units and heating and complete new Simrad navigation system. Masts taken down and resprayed, new standing rigging and sails. New electric system with new control panel, Victron Quattro, new batteries etc.etc etc The perfect boat for long distance cruising in comfort and safety. 
For more information: CHEOY LEE 63 LRMS for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1984,Cheoy Lee,63 Long Range Motorsailer,Slup Boote,19.32,other,other,,portugal
166,1953 Baglietto 20 m Marconi Cutter1953 Baglietto 20 m Marconi Cutter,495000.0,"imperia, liguria, italien",Valbroker,8258446,"PROVISIONAL SHEET IN UPDATE Extraordinary cruising / regatta sail, designed in 1952 and launched in 1953. It dominated the regatta scenes in the early years and even recently, in the Mediterranean. In 2006 she underwent a thorough refit that lasted a couple of years, the keel bolts, deck frames and even the interior were replaced. She is ready, she is delivered turnkey. Visit our website: www.valbroker.com For transport we collaborate with Yacht Service - Paolo Meroni - Como. We speak English, German and French. Agency rights excluded.
English PROVISIONAL SHEET IN UPDATE Extraordinary cruising / regatta sail, designed in 1952 and launched in 1953. lei she Dominated the regatta scenes in the early years and even recently, in the Mediterranean. In 2006 she underwent a thorough refit that lasted a couple of years, the keel bolts, deck frames and even the interior were replaced. Visit our website: www.valbroker.com For transport we collaborate with Yacht Service - Paolo Meroni - Como. We speak English, German and French. Commission excluded.
Française CARTE PROVISOIRE MISE À JOUR Extraordinaire voile de croisière / régate, conceived in 1952 and launched in 1953. It will dominate the scènes des régates dans premieres années et même récemment, in Méditerranée. In 2006, she a fait l'objet d'une rénovation in depth de quelques années, ils ont été remplacés: boulons de quille, cadres de couverture et même les intérieurs. She elle est prête, elle est remise clé en main. Visitez notre site: www.valbroker.com Pour les transports, nous collaborons avec Yacht Service - Paolo Meroni - Côme. Nous parlons anglais, allemand et français. Droits d'agence exclus.
Deutsch VORLÄUFIGE REGISTERKARTE IM UPDATE Außergewöhnliches Kreuzfahrt- / Regattasegeln, entworfen 1952 und 1953 gestartet. Es dominierte die Szenen der Regatta in den ersten Jahren und sogar vor kurzem, im Mittelmeer. Im Jahr 2006 war es Gegenstand einer gründlichen Umrüstung dauerte ein paar Jahre, wurden ersetzt: Kielbolzen, Deckenrahmen und sogar Die innenräume. Sie ist bereit, sie wird schlüsselfertig geliefert. Besuchen Sie unsere Website: www.valbroker.com Für den Transport arbeiten wir mit Yacht Service - Paolo Meroni - Como zusammen. Wir sprechen Englisch, Deutsch und Französisch. Agenturrechte ausgeschlossen.
Español FICHA SEGURO IN LA ACTUALIZACIÓN Extraordinary wing of crucero / carreras, designed in 1952 and botada in 1953. She dominates the races of regatas in the primeros años and también recently, in the Mediterranean. In 2006 she was object of a remodeling in profundity that lasted a par de años, fueron sustituidos: pernos del kilo, marcos de cubierta y también el interior. Está listo, se entrega llave en mano. Visits to our website: www.valbroker.com For the transporte in collaboration with Yacht Service - Paolo Meroni - Como. Hablamos inglés, alemán y francés. Derechos de agencia excluidos.
Россию БЕЗОПАСНАЯ ВКЛАДКА В ОБНОВЛЕНИИ Чрезвычайное круизное / гоночное крыло, спроектированногоз53 вогоноз53 уногоз52 уна 52. Он доминировал в регате сцены в первые годы, а также в последнее время, в Средиземном море. В 2006 году он стал предметом углубленного переоборудования, которое длилось пару лет, они были заменены: болты килограмма, палубные рамы, а также интерьер. Он готов, он поставляется под ключ. Посетите наш сайт: www.valbroker.com Для транспорта мы сотрудничаем с Yacht Service - Паоло Мерони - Комо. Мы говорим по-английски, по-немецки и по-французски. Права Агентства исключены.Mehr anzeigen",1953,Baglietto,20 m Marconi Cutter,Klassische Segelboote,19.3,diesel,other,,italy
167,2002 Farr FARR 63 PILOT HOUSE2002 Farr FARR 63 PILOT HOUSE,625000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485588,"2002 FARR FARR 63 PILOT HOUSE,
XBOAT ref 4836. Very rare, beautiful Farr 63 pilot house from 2002. Price including VAT, Spanish flag. Never rented. Mainsail, staysail and new genoa. "" 2017 generators, 2018 electronics, 2018 electric frame, 2 new converter chargers. 2 black water tanks. 2018 aluminum hull tender. Regular engine maintenance. Hydraulic furlers and windlass. More information and photos on the site xboat.frMehr anzeigen",2002,Farr,FARR 63 PILOT HOUSE,Daysailers,19.28,diesel,other,,afghanistan
168,2002 Farr 63 Pilot House2002 Farr 63 Pilot House,600000.0,"contact de valk barcelona / gerona, spanien",De Valk Group B.V,7961081,"Model: FARR 63 PILOT HOUSE Type: sailing yacht LOA (m): 19,27 Beam (m): 5,48 Draft (m): 2,75 Headroom (m): 1,92 Year built: 2002 Launched: 2002 Builder: BSI Country: Sweden Designer: Bruce Farr Displacement (t): 25,5 Gross tonnage: 25,5 CE norm: A Hull material: GRP Hull colour: white Keel type: yes Superstructure material: GRP Deck finish: teak Cockpit deck finish: teak Antifouling (year): 2019 Window frame: yes Fuel tank (litre): 1015 Fuel tank 2 (litre): 1015 Level indicator (fuel tank): yes Freshwater tank (litre): 1000 Level indicator (freshwater): yes Blackwater tank (litre): 2x110 Level indicator (blackwater): yes Blackwater tank extraction: yes Wheel steering: yes Inside helm position: yes Outside helm position: yes Emergency tiller: yes From the stable of the renowned race design team comes this stunning world cruiser. Considered Sweden's answer to Oyster she is strongly built, yet has a great turn of speed and agility on the water. This coupled with comfort, space and elegance makes her the perfect choice for even the most discerning of buyers. Only two owners since new. Big refit done 2017/2018
For more information: FARR 63 PILOT HOUSE for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",2002,Farr,63 Pilot House,Slup Boote,19.27,diesel,other,,spain
169,2022 Dufour 612022 Dufour 61,1149000.0,"golfe juan, alpes-maritimes ( 06 )",Seaways Yachting,8207697,"DUFOUR 61 NEW.
SEAWAYS YACHTING - DUFOUR YACHTS DISTRIBUTOR FOR THE MARITIME ALPS.
DELIVERY TO GOLFE JUAN, POSSIBILITIES OF LEASING FINANCING, BERTH WITH OR WITHOUT RENTAL MANAGEMENT.
COMFORT EQUIPMENT
Port forward galley (3 cabins / 3 heads + forward Pullman), Boston ambiance, Teak on the bottom of the cockpit, the gangways and on the aft door (black seals), Long cast iron ballast (draught = 2, 85 m), Carbon arch on coachroof for mainsheet, Volvo D4-180cv engine, 4-blade folding propeller, Mainsail Full Batten Dacron + lazy bag, Dacron self-tacking jib on electric furler, Electric windlass 2000W, Table of cockpit, Cockpit shower (hot/cold water), Section doors, Leather-covered steering wheels, 230V/110V cockpit portholes, 24v/220v 2300w converter (included in the generator), 4 AGM 140 Ah service batteries, Battery charger, LED lighting (interior fittings), Holding tanks, Radio CD Exterior speakers, Lighting in the bulwark, Electric opening of the rear door Blinds and curtains in the saloon and the cabins Fixed saloon table 2 Winches of electric halyards size 65 2 size 65 manual winches at helm station P retractable bow thruster Instrument support pods starboard and port helm console, Outdoor galley: gas griddle + sink, electric toilet in the Forward Owner cabin.
SAILING ELECTRONIC PACK
Central log speedo wind vane anemometer + 1 I70 display to port, Raymarine Evolution autopilot - hydraulic cylinder - P70 display, VHF Ray63GPS AXIOM 7 to starboard.
CRUISING ELECTRONIC PACK
Large Pods, Upgrade Autopilot: Lewmar rotary engine, Second Ray Mic handset at starboard helm station, AXIOM 12 PRO GPS instead of AXIOM 7 on starboard, AXIOM 12 PRO GPS on port, AIS 700 HP VHF cockpit transceiver
TRANSAT ELECTRONIC PACK
18"" Digital Radar - QUANTUM, Smart Controller Wireless Remote Control
OPTIONS
Electric winches at the helm station, Releasable forestay + 1 staysail halyard, Asymmetrical spinnaker fittings, Stainless steel bow protection, Wheel helm covers + cockpit table cover, POD covers, Companionship sprayhood with handrail: Dark smoke, Bimini Dark smoke, Winch + Inflator / Deflator + guide rollers, Cockpit bench cushions with backrests + rear seats + helmsman backrest: Dark smoke, Refrigerator integrated into the cockpit table, Chain locker flushing, Shorepower connector fresh water, Preparation of the boat in La Rochelle and handover/training with skipper.
Constantly looking to the future, Dufour designs each new model to give you pleasure and sensations in complete serenity, whatever your cruising plans and the use of your sailboat. For over 60 years, we have been designing and building innovative, high-performance sailboats.
Find out more: www.seaways-yachting.comMehr anzeigen",2022,Dufour,61,Segelyachten,19.22,diesel,GFK / fiberglas / polyester,,afghanistan
171,1979 BORDOGNA MACPI CLASSIC BORDOGNA MACPI PACIFIC 681979 BORDOGNA MACPI CLASSIC BORDOGNA MACPI PACIFIC 68,200000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485594,"1979 BORDOGNA MACPI CLASSIC BORDOGNA MACPI PACIFIC 68,
XBOAT ref 4520. Superb schooner in perfect condition. Regular maintenance, recent painting and annual mechanical overhaulComing from the Italian shipyard Bordogna MappaciPrice including VATUnique model More information and photos on the site xboat.frMehr anzeigen",1979,BORDOGNA MACPI,CLASSIC BORDOGNA MACPI PACIFIC 68,Daysailers,19.14,diesel,other,,afghanistan
172,1992 Custom Line Gulet-Ketch1992 Custom Line Gulet-Ketch,295000.0,türkei,Gino Group,3791629,"Beautiful example of a Traditional Turkish Gulet. 
Currently available for inspections in southern Turkey
Please contact us for further information.Mehr anzeigen",1992,Custom Line,Gulet-Ketch,Motorsegler (Segel),19.1,diesel,wood,Monohull ,turkey
173,1993 Lagoon 57 S1993 Lagoon 57 S,370000.0,"martigues, frankreich",CAP MED Boat & Yacht Consulting,8046698,"CAP'MED BOAT & YACHT Consulting is pleased to present this comfortable and efficient LAGOON 57' S, built in carbon-kevlar, powerful and robust. Complete refit between 2015 and 2016 exterior and interior, floor, upholstery, 2 YANMAR engines from 57hp sail-drive transmission reconditioned in 2014 (650 hours since) Genoa on furler year 2016Full-batten mainsail year 2017 with lazy bag Asymmetric spinnaker with sock year 2016Electric maneuvering winchesOffshore equipment - 4.20 semi-rigid tender with 15hp engine on stainless steel davitsCarbon gangwayPanels solar - 8KVA generator - 8 service batteries. Complete electronics with autopilot, radar, GPS Furuno, Geonav, and Raymarine, tridata, bidata, fixed VHF. CD radio, 4 TV. Equipped kitchen including fridge, ice-maker, oven, 2 stainless steel sink.
Successfully appraised in July 2019, market value at €500,000 including tax.
Contact: Anthony CEGRI on 07 81 62 18 65 - 0033 781 621 865Mehr anzeigen",1993,Lagoon,57 S,Katamarane,19.1,diesel,other,,france
174,1998 Walsteds 62´ Bill Dixon - Modern Classic Design1998 Walsteds 62´ Bill Dixon - Modern Classic Design,460000.0,"alicante, spanien",IBYACHT,8419858,"High quality and extremely safe one off yacht. A masterpiece, built under the direction of master boat builder Thorvald Walsted in the well-known Walsted Yachtyard in Thurö, Denmark Beautiful design This sailing yacht is strikingly beautiful and classy, ​​definitely an eye-catcher! Best materials Only the best materials were used for their construction and equipment. Safe and comfortable She is built very strong and you will feel comfortable at sea and in port. Easy to handle and fully equipped She has excellent handling characteristics both under sail and under power. The yacht is fully equipped for worldwide cruising and comfortable life on board. Ready to go Maintenance is up to date. Everything is up to date. Take your personal belongings and provisions on board and travel the seven seas. Trade-in of real estate, motor boat or sailing yacht possible!Show more",1998,Walsteds,62´ Bill Dixon - Modern Classic Design,Segelyachten,19.02,diesel,GFK / fiberglas / polyester,,spain
175,2008 Custom Gulet 62 ft2008 Custom Gulet 62 ft,275000.0,"bodrum/i̇çmeler, türkei",Gino Group,4925481,HAYAL 62 Show more,2008,Custom,Gulet 62 ft,Gulets (Segel),19.0,diesel,wood,,turkey
176,1975 One-Off Sailing Yacht1975 One-Off Sailing Yacht,348000.0,"contact de valk barcelona / gerona, spanien",De Valk Group B.V,7937762,"Model: CUSTOM BUILD 51 Type: sailing yacht LOA (m): 19,00 LWL (m): 0,00 Beam (m): 4,40 Draft (m): 2,00 Air draft (m): 0,00 Headroom (m): 2,10 Year built: 1975 Launched: 1975 Builder: Formosa / MagicDream / De Valk Country: The Netherlands Displacement (t): 32 CE norm: A Hull material: GRP Keel type: Refitted 2018 long keel Superstructure material: GRP Superstructure deck finish: cork Cockpit deck finish: cork Antifouling (year): 2021 Window material: Double safety glass Fuel tank (litre): 1100 Level indicator (fuel tank): Yes Freshwater tank (litre): 750 Level indicator (freshwater): Yes S/Y Magic Dream is a true beauty inside out. Completely refitted from 1998-2000 by De Valk Shipyards in Holland with new machinery and interior. A second refit in 2018 with important improvements. The yacht has a very spacious deck area and all the facilities with easy access to rigging and gear. The interior has a genuine design with the comfort of modern installations.The master cabin aft leads to the salon, well communicated with the modern galley, leading the hallway forward to the beautiful guest cabins.Very well maintained and in mint condition in all details. Shipyard every year. 
For more information: CUSTOM BUILD 51 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1975,One-Off,Sailing Yacht,Slup Boote,19.0,diesel,other,,spain
177,1975 One-Off Sailing Yacht1975 One-Off Sailing Yacht,329000.0,"contact de valk barcelona, spanien",De Valk Group B.V,8368730,"Model: CUSTOM BUILD 51 Type: sailing yacht LOA (m): 19,00 LWL (m): 0,00 Beam (m): 4,40 Draft (m): 2,00 Air draft (m): 0,00 Headroom (m): 2,10 Year built: 1975 Launched: 1975 Builder: Formosa / MagicDream / De Valk Country: The Netherlands Displacement (t): 32 CE norm: A Hull material: GRP Keel type: Refitted 2018 long keel Superstructure material: GRP Superstructure deck finish: cork Cockpit deck finish: cork Antifouling (year): 2021 Window material: Double safety glass Fuel tank (litre): 1100 Level indicator (fuel tank): Yes Freshwater tank (litre): 750 Level indicator (freshwater): Yes S/Y Magic Dream is a true beauty inside out. Completely refitted from 1998-2000 by De Valk Shipyards in Holland with new machinery and interior. A second refit in 2018 with important improvements. The yacht has a very spacious deck area and all the facilities with easy access to rigging and gear. The interior has a genuine design with the comfort of modern installations.The master cabin aft leads to the salon, well communicated with the modern galley, leading the hallway forward to the beautiful guest cabins.Very well maintained and in mint condition in all details. Shipyard every year. 
For more information: CUSTOM BUILD 51 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1975,One-Off,Sailing Yacht,Slup Boote,19.0,diesel,other,,spain
178,1983 Ta Chiao CT-541983 Ta Chiao CT-54,296000.0,"contact de valk portugal, portugal",De Valk Group B.V,8198276,"Model: TA CHIAO CT-54 Type: sailing yacht LOA (m): 18,94 Beam (m): 4,61 Draft (m): 2,30 Air draft (m): 21,00 Headroom (m): 2,10 Year built: 1983 Builder: Ta Chiao shipyard Country: Taiwan Designer: Robert Perry Displacement (t): 29 CE norm: A Hull material: GRP Hull thickness (mm): 30mm Hull shape: S-bilged Keel type: long keel Superstructure material: GRP Deck material: teak Deck finish: 2012-2014 teak Superstructure deck finish: teak Cockpit deck finish: teak Antifouling (year): 2022 Dorades: 4 Window frame: stainless steel Window material: tempered glass Deckhatch: 5 Portholes: bronze Fuel tank (litre): 550 aluminium Fuel tank 2 (litre): 550 aluminium Level indicator (fuel tank): yes Freshwater tank (litre): 2x 250 1x600 stainless steel Level indicator (freshwater): yes Blackwater tank (litre): 2x 75 polyethylene Level indicator (blackwater): yes Blackwater tank extraction: deck extraction + pump Wheel steering: hydraulic Outside helm position: hydraulic Emergency tiller: yes This robust yet elegant long keel classic yacht is designed and fully equiped for long distance cruising in comfort and style. she was completely overhauled by the present owner between 2012 and 2014. With new standing rigging, new sails, new generator, electric system, navigation equipment, heating, A/C, new water and diesel tanks, overhauled engine and aquadrive she is ready for any destination her new owner wants to take her. 
For more information: TA CHIAO CT-54 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1983,Ta Chiao,CT-54,Slup Boote,18.94,diesel,other,,portugal
179,1989 Bruce Roberts 661989 Bruce Roberts 66,145000.0,"contact de valk costa blanca, frankreich",De Valk Group B.V,7937508,"Model: BRUCE ROBERTS 66 Type: sailing yacht LOA (m): 18,91 Beam (m): 4,80 Draft (m): 2,60 Air draft (m): 21,00 Headroom (m): 1,90 Year built: 1989 Builder: Tatek AS Bodrum Country: Turkey Designer: Bruce Robert Displacement (t): 45 CE norm: NA Hull material: GRP Hull thickness (mm): min. 40 Hull shape: S-bilged Keel type: long keel Superstructure material: GRP Deck finish: teak Superstructure deck finish: teak Cockpit deck finish: teak Antifouling (year): February 2022 Dorades: yes Window frame: wood Window material: hard protection safety glass Fuel tank (litre): total 3000 Level indicator (fuel tank): yes Freshwater tank (litre): 2 tanks 3000 ltr in total Blackwater tank (litre): 1500 Inside helm position: yes Emergency tiller: yes More info on paintwork: resprayed 2019 Extra info: diesel and black water tanks cleaned and painted spring 2020 Extra info: new tubing for all tanks, 2020 Extra info: new extra fiberglass added to water/diesel tanks Bruce Roberts designed heavy duty GRP built vessel, a guaranty for safe long passage making. She offers perfect permanent life on board space and accommodation, sleeps 10/13, but can also be an ideal yacht to transform for charter use. Owner fitted the yacht for world solo travelling and upgraded over 100 K€ the last years on mostly the technical side, new sails and fixed roof over aft deck. She has just been serviced. Cosmetically she needs the finishing touch, some teak repairs and treating wood with oil. Inside small jobs to be done. VAT not paid. Lying in the Caribbean.
For more information: BRUCE ROBERTS 66 for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1989,Bruce Roberts,66,Slup Boote,18.91,diesel,other,,france
180,2018 Lagoon 6202018 Lagoon 620,1800000.0,"dalmatia ( hr ), kroatien",White Whale Yachtbrokers,8004145,"almost brand new boat, well maintained, maximum equipment


Please note: this boat is available from October-2022!
This catamaran LAGOON 620 ESSENSE is in as good as new condition as a charter boat from 2018. If you are longing for a dream vacation on a prestigious catamaran, there is no better boat than this Lagon 620! It is fully equipped and due to its length of 18.9 m we can compare it with a floating house. It can accommodate 10 people, in all comfort. It has 5 WC/showers, giving you the privacy you desire. The catamaran is equipped with the ESSENSE option, among the great luxury we can name a few: Electric pleated blinds in the saloon, carpet in the cabins, code 0, extra bathing ladder, electric steel grill, flybridge furniture, teak foredeck and deck passage, tender lift xl hydraulic platform with remote control, electric bow thruster, docking remote control for engine and bow thruster, lateral and central galley, 2 B&G cameras under flybridge, dinghy set Ocean Master Deluxe 460 gray with Honda engine BF60 hP and much more. She sails under the Croatian flag. All photos show the actual condition.
Are you looking for a comfortable, fully equipped, spacious and well maintained yacht? Call or email us for more information or to make an appointment in Zadar (Croatia). Your yacht broker is White Whale Croatia, +385 98 574 232 or croatia@WWY.nl.
Do you want to sell your own boat first? We are happy to help you with 11 offices throughout Europe. Just from your own berth. Ask us for a tailor-made proposal via info@wwy.nl. You will have a proposal within 24 hours.


General
Steering: Double carbon wheels

Accommodation
Other:
DISH WASHER Miele 12 sets 220V
WASHER / DRYER MIELE 5kg / 11lbs 220V
WINE COOLER IN LATERAL GALILEO (17 bottles)
ICE MAKER 220V IN COCKPIT
FORWARD DECK SEA/FRESH WATER WASH PUMP & AFT DECK FRESH WATER WASH PUMP
ELECTRICAL S/STEEL GRILL 220V IN COCKPIT LOCKER
DECK COURTESY LIGHTS IN COCKPIT, TRANSOMS AND FLYBRIDGE


Engine, electrics, water
Water maker: 220V
Other:
PAIR OF 3-BLADES GORI FOLDING PROPELLERS FOR VOLVO D3-150 (150 HP)+ ROPE CUTTERS ON THE PROPELLERS
USB SOCKETS ARE IN CABINS
SHAVER SOCKETS 220V IN HEAD(per unit)

Rigging
Genoa: rolling genoa
Other:
CODE 0 IN D4 BLACK 186m² (2001 sq ft)


Navigation and electronics
Other:
2 B&G CAMERAS UNDER FLYBRIDGE
4 OCEANLED UNDER WATER SPOT LIGHTS
AUTOPILOT REMOTE B&G
B&G FORWARD SCAN SOUNDER
B&G RUDDER JOYSTICK AT NAV. STATE
FUSION MS-RA205 USB RADIO IN SALON + 6 SPEAKERS (Salon, Cockpit & Fly) + REMOTE ON FLY
FUSION RADIO DVD/CD MP3 PLAYER + 2 LOUDSPEAKERS IN CABIN (per unit)
VHF B&G RS90 DOUBLE HANDSET

Equipment
Dinghy: DINGHY SET OCEAN MASTER DELUXE 460 GRAY WITH HONDA MOTOR BF60PK
Davits: Hydraulic platform with remote
Other:
RETRACTABLE HYDRAULIC HALLBOARD 2.5m / 8.20ft ON PORT TRANSOM
more anzeigen",2018,Lagoon,620,Slup Boote,18.9,diesel,other,,croatia
181,2014 Lagoon Lagoon 6202014 Lagoon Lagoon 620,1400000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485545,"2014 LAGOON LAGOON 620,
XBOAT ref 2615.Lagoon 620 from 2014. Perfect condition, fully equipped. Ht price. More information and photos on the site xboat.frMehr anzeigen",2014,Lagoon,Lagoon 620,Daysailers,18.9,diesel,other,,afghanistan
